"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","TSNS.DESIGNATION","population","crime_rate"
"004",2023,"Assault",79,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,76.144578313253
"004",2023,"Auto Theft",75,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,72.289156626506
"004",2023,"Break and Enter",16,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,15.421686746988
"004",2023,"Robbery",24,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,23.1325301204819
"004",2023,"Theft Over",4,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,3.85542168674699
"004",2024,"Assault",93,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,89.6385542168675
"004",2024,"Auto Theft",46,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,44.3373493975904
"004",2024,"Break and Enter",24,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,23.1325301204819
"004",2024,"Robbery",25,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,24.0963855421687
"004",2024,"Theft Over",1,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,0.963855421686747
"004",2025,"Assault",72,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,69.3975903614458
"004",2025,"Auto Theft",37,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,35.6626506024096
"004",2025,"Break and Enter",19,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,18.3132530120482
"004",2025,"Robbery",14,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,13.4939759036145
"004",2025,"Theft Over",7,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,6.74698795180723
"005",2014,"Assault",43,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,45.9647247461251
"005",2014,"Auto Theft",7,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,7.48262960983431
