"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name"
"010",2025,"Robbery",10,"Princess-Rosethorn"
"010",2025,"Theft Over",11,"Princess-Rosethorn"
"011",2020,"Assault",46,"Eringate-Centennial-West Deane"
"011",2020,"Auto Theft",51,"Eringate-Centennial-West Deane"
"011",2020,"Break and Enter",12,"Eringate-Centennial-West Deane"
"011",2020,"Robbery",19,"Eringate-Centennial-West Deane"
"011",2020,"Theft Over",3,"Eringate-Centennial-West Deane"
"011",2021,"Assault",38,"Eringate-Centennial-West Deane"
"011",2021,"Auto Theft",64,"Eringate-Centennial-West Deane"
"011",2021,"Break and Enter",14,"Eringate-Centennial-West Deane"
"011",2021,"Robbery",4,"Eringate-Centennial-West Deane"
"011",2021,"Theft Over",2,"Eringate-Centennial-West Deane"
"011",2022,"Assault",60,"Eringate-Centennial-West Deane"
"011",2022,"Auto Theft",93,"Eringate-Centennial-West Deane"
"011",2022,"Break and Enter",18,"Eringate-Centennial-West Deane"
"011",2022,"Robbery",13,"Eringate-Centennial-West Deane"
"011",2022,"Theft Over",3,"Eringate-Centennial-West Deane"
"011",2023,"Assault",87,"Eringate-Centennial-West Deane"
"011",2023,"Auto Theft",123,"Eringate-Centennial-West Deane"
"011",2023,"Break and Enter",29,"Eringate-Centennial-West Deane"
"011",2023,"Robbery",13,"Eringate-Centennial-West Deane"
"011",2023,"Theft Over",3,"Eringate-Centennial-West Deane"
"011",2024,"Assault",80,"Eringate-Centennial-West Deane"
"011",2024,"Auto Theft",97,"Eringate-Centennial-West Deane"
"011",2024,"Break and Enter",31,"Eringate-Centennial-West Deane"
"011",2024,"Robbery",6,"Eringate-Centennial-West Deane"
"011",2024,"Theft Over",10,"Eringate-Centennial-West Deane"
"011",2025,"Assault",73,"Eringate-Centennial-West Deane"
"011",2025,"Auto Theft",46,"Eringate-Centennial-West Deane"
"011",2025,"Break and Enter",22,"Eringate-Centennial-West Deane"
"011",2025,"Robbery",6,"Eringate-Centennial-West Deane"
"011",2025,"Theft Over",5,"Eringate-Centennial-West Deane"
"012",2020,"Assault",41,"Markland Wood"
"012",2020,"Auto Theft",29,"Markland Wood"
"012",2020,"Break and Enter",12,"Markland Wood"
"012",2020,"Robbery",16,"Markland Wood"
"012",2020,"Theft Over",7,"Markland Wood"
"012",2021,"Assault",27,"Markland Wood"
"012",2021,"Auto Theft",23,"Markland Wood"
"012",2021,"Break and Enter",9,"Markland Wood"
"012",2021,"Robbery",8,"Markland Wood"
"012",2021,"Theft Over",1,"Markland Wood"
"012",2022,"Assault",36,"Markland Wood"
"012",2022,"Auto Theft",31,"Markland Wood"
"012",2022,"Break and Enter",12,"Markland Wood"
"012",2022,"Robbery",11,"Markland Wood"
"012",2022,"Theft Over",3,"Markland Wood"
"012",2023,"Assault",43,"Markland Wood"
"012",2023,"Auto Theft",49,"Markland Wood"
"012",2023,"Break and Enter",14,"Markland Wood"
"012",2023,"Robbery",3,"Markland Wood"
"012",2023,"Theft Over",1,"Markland Wood"
"012",2024,"Assault",52,"Markland Wood"
"012",2024,"Auto Theft",43,"Markland Wood"
"012",2024,"Break and Enter",21,"Markland Wood"
"012",2024,"Robbery",5,"Markland Wood"
"012",2024,"Theft Over",3,"Markland Wood"
"012",2025,"Assault",34,"Markland Wood"
"012",2025,"Auto Theft",19,"Markland Wood"
"012",2025,"Break and Enter",28,"Markland Wood"
"012",2025,"Robbery",11,"Markland Wood"
"012",2025,"Theft Over",11,"Markland Wood"
"013",2020,"Assault",63,"Etobicoke West Mall"
"013",2020,"Auto Theft",11,"Etobicoke West Mall"
"013",2020,"Break and Enter",14,"Etobicoke West Mall"
"013",2020,"Robbery",9,"Etobicoke West Mall"
"013",2020,"Theft Over",7,"Etobicoke West Mall"
"013",2021,"Assault",49,"Etobicoke West Mall"
"013",2021,"Auto Theft",18,"Etobicoke West Mall"
"013",2021,"Break and Enter",12,"Etobicoke West Mall"
"013",2021,"Robbery",2,"Etobicoke West Mall"
"013",2021,"Theft Over",3,"Etobicoke West Mall"
"013",2022,"Assault",59,"Etobicoke West Mall"
"013",2022,"Auto Theft",33,"Etobicoke West Mall"
"013",2022,"Break and Enter",21,"Etobicoke West Mall"
"013",2022,"Robbery",4,"Etobicoke West Mall"
"013",2022,"Theft Over",5,"Etobicoke West Mall"
"013",2023,"Assault",66,"Etobicoke West Mall"
"013",2023,"Auto Theft",65,"Etobicoke West Mall"
"013",2023,"Break and Enter",12,"Etobicoke West Mall"
"013",2023,"Robbery",1,"Etobicoke West Mall"
"013",2023,"Theft Over",5,"Etobicoke West Mall"
"013",2024,"Assault",58,"Etobicoke West Mall"
"013",2024,"Auto Theft",43,"Etobicoke West Mall"
"013",2024,"Break and Enter",11,"Etobicoke West Mall"
"013",2024,"Robbery",3,"Etobicoke West Mall"
"013",2024,"Theft Over",4,"Etobicoke West Mall"
"013",2025,"Assault",55,"Etobicoke West Mall"
"013",2025,"Auto Theft",29,"Etobicoke West Mall"
"013",2025,"Break and Enter",16,"Etobicoke West Mall"
"013",2025,"Robbery",4,"Etobicoke West Mall"
"013",2025,"Theft Over",2,"Etobicoke West Mall"
"015",2020,"Assault",10,"Kingsway South"
"015",2020,"Auto Theft",16,"Kingsway South"
